PWM,RPM_theoretical,Pulses_14,RPM_14,Pulses_prop,RPM_prop
1175,1544,20,1200,11,1080
1200,1765,26,1560,21,1260
1250,2206,32,1920,29,1740
1300,2647,40,2400,37,2220
1350,3088,50,3000,46,2760
1400,3529,58,3840,54,3240
1450,3971,68,4048,60,3600
1500,4412,80,4800,67,4020
1550,4853,90,5400,75,4500
1600,5294,98,5880,85,5100
1650,5735,107,6420,92,5520
1700,6177,125,7500,99,5940
1750,6618,128,7680,105,6300
1800,7059,140,8400,110,6600
1850,7500,150,9000,117,7020
1900,7941,162,9720,123,7380
1950,8382,160,9600,125,7500
2000,8824,160,9600,125,7500
